Name,Location,Latitude,Longitude,Elevation,Morphology,Status,Time of Last Eruption,OBJECTID,ID,Country,OID,x,y
"Diablotins, Morne",W Indies,15.503,-61.397,1430,Stratovolcano,Holocene,U,1772,160009,Dominica,51,-6834682.77623462,1747238.12239622
Diamond Craters,US-Oregon,43.1,-118.75,1435,Volcanic field,Holocene,Unknown,1773,120217,United States,52,-13219189.5317012,5327205.27427046
Didicas,Luzon-N of,19.077,122.202,228,Compound volcano,Historical,D1,1774,70402,Philippines,53,13603464.4139196,2164003.5182304
Dieng Volcanic Complex,Java,-7.2,109.879,2565,Complex volcano,Historical,D1,1775,60320,Indonesia,54,12231674.3288741,-803618.16425967
Diky Greben,Kamchatka,51.452,156.978,1040,Lava dome,Radiocarbon,D6,1776,1000022,Russia,55,17474711.0257465,6701640.12936967
Dofan,Africa-NE,9.35,40.13,1151,Stratovolcano,Holocene,U,1777,20118,Ethiopia,56,4467251.16553407,1045487.88952058
Don Joao de Castro Bank,Azores,38.23,-26.63,-13,Submarine volcano,Historical,D4,1778,180207,Portugal,59,-2964438.03982488,4611968.24431526
Dona Juana,Colombia,1.5,-76.936,4137,Stratovolcano,Historical,D2,1779,150107,Colombia,60,-8564476.3436713,166998.313752922
Dotsero,US-Colorado,39.661,-107.036,2230,Maar,Radiocarbon,D7,1780,120801,United States,61,-11915081.697058,4816801.32070711
Douglas,Alaska Peninsula,58.855,-153.542,2140,Stratovolcano,Fumarolic,U,1781,110227,United States,62,-17092217.2553808,8149112.60367864
Dubbi,Africa-NE,13.579,41.809,1625,Stratovolcano,Historical,D3,1782,20110,Eritrea,63,4654156.59057597,1525960.07524103
Dukono,Halmahera-Indonesia,1.699,127.878,1273,Complex volcano,Historical,D1,1783,60801,Indonesia,64,14237094.9555149,188491.328833454
Duncan Canal,Alaska-SE,56.5,-133.1,15,Unknown,Holocene,U,1784,110505,United States,65,-14816624.2245847,7658602.2929883
Durango Volcanic Field,Mexico,24.15,-104.45,2075,Cinder cone,Holocene,U,1785,1401022,Mexico,66,-11627320.8133574,2771696.94409113
Dutton,Alaska Peninsula,55.183,-162.276,1465,Stratovolcano,Holocene,U,1786,1102011,United States,67,-18064481.6879693,7397463.99279177
Dzenzursky,Kamchatka,53.637,158.922,2285,Compound volcano,Holocene,U,1787,100011,Russia,68,17691116.1158486,7101705.99816471
Esan,Hokkaido-Japan,41.805,141.166,618,Stratovolcano,Historical,D3,1788,805011,Japan,69,15714527.2373233,5131813.99840356
Gemini-Oscostar,SW Pacific,-20.957,170.13,-33,Submarine volcano,Historical,D1,1789,508001,Vanuatu,72,18955482.8922786,-2389493.96134979
Ebeko,Kuril Is,50.686,156.014,1103,Somma volcano,Historical,D1,1790,90038,Russia,73,17367399.0366218,6565937.58653069
Ebulobo,Lesser Sunda Is,-8.817,121.191,2096,Stratovolcano,Historical,D1,1791,60410,Indonesia,74,13490920.4087276,-985400.843149275
"Eburru, Ol Doinyo",Africa-E,-0.65,36.22,2856,Complex volcano,Holocene,U,1792,20208,Kenya,75,4031991.95653237,-72359.2211479382
Ecuador,Galapagos,-0.02,-91.546,790,Shield volcano,Holocene,U,1793,1503011,Ecuador,76,-10190854.104161,-2226.38986107864
Edgecumbe,Alaska-SE,57.05,-135.75,970,Stratovolcano,Radiocarbon,D7,1794,110504,United States,77,-15111620.8751869,7770345.11276689
Edziza,Canada,57.72,-130.63,2786,Stratovolcano,Radiocarbon,D6,1795,120006,Canada,78,-14541665.0823253,7908726.85807153
Taranaki,New Zealand,-39.3,174.07,2518,Stratovolcano,Radiocarbon,D4,1796,40103,New Zealand,80,19377383.7623851,-4764735.55616886
Egon,Lesser Sunda Is,-8.676,122.455,1661,Stratovolcano,Historical,D2,1797,60416,Indonesia,81,13631628.2450903,-969520.110605159
Ekarma,Kuril Is,48.958,153.93,1170,Stratovolcano,Historical,D1,1798,90027,Russia,82,17135409.2178086,6267737.87519759
Elbrus,Russia-SW,43.351,42.442,5642,Stratovolcano,Tephrochronology,D6,1799,10401,Russia,83,4724621.82824812,5365551.14859885
Elmenteita Badlands,Africa-E,-0.546,36.249,2126,Pyroclastic cone,Holocene,U,1800,202071,Kenya,84,4037557.93107203,-57886.9298950403
Elovsky,Kamchatka,57.55,160.53,1381,Shield volcano,Holocene,U,1801,100059,Russia,85,17870117.8570442,7873374.77748223
Emmons Lake Volcanic Center,Alaska Peninsula,55.352,-162.045,1534,Caldera,Holocene,U,1802,110202,United States,86,-18041883.8313382,7428330.51961466
Emuruangogolak,Africa-E,1.5,36.33,1285,Shield volcano,Radiocarbon,D2,1803,202051,Kenya,88,4044237.10051963,166998.313752922
East Epi,Vanuatu-SW Pacific,-16.68,168.389,833,Stratovolcano,Historical,D1,1804,50706,Vanuatu,89,18742862.6648635,-1883606.73384188
Erciyes Volcanic Complex,Turkey,38.531,35.447,3864,Stratovolcano,Holocene,U,1805,10301,Turkey,90,3945941.99014917,4654712.27784241
Erebus,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical,D1,1806,190002,Antarctica,91,18609279.2759115,-14121769.8950773
Erta Ale,Africa-NE,13.601,40.666,585,Shield volcano,Historical,D1,1807,20108,Ethiopia,92,4527363.69056244,1528365.11589701
Corrida de Cori Volcanic Field,Chile-N,-25.083,-68.367,5451,Stratovolcano,Holocene,U,1808,1505112,Argentina,95,-7610579.62706373,-2885942.75259804
Esjufjoll,Iceland-SE,64.25,-16.583,1620,Stratovolcano,Historical,D2,1809,170402,Iceland,96,-1846011.11582486,9413534.78178903
Esmeralda Bank,Mariana Is-C Pacific,14.958,145.249,-74,Submarine volcano,Fumarolic,U,1810,80421,United States,97,16169156.037723,1689200.13960789
"Est, Ile de l'",Indian O-S,-46.43,52.2,1090,Stratovolcano,Holocene,Unknown,1811,30403,French Southern & Antarctic Lands,99,5810877.41940888,-5849526.83111761
Esteli,Nicaragua,13.17,-86.4,899,Fissure vent,Holocene,Unknown,1812,1404131,Nicaragua,100,-9618004.00453884,1479161.05612324
Etna,Italy,37.748,14.999,3357,Stratovolcano,Historical,D1,1813,10106,Italy,101,1669681.04240831,4543887.57473608
Eyjafjallajokull,Iceland-S,63.633,-19.633,1651,Stratovolcano,Historical,D1,1814,170202,Iceland,102,-2185535.56274434,9257174.62737507
