Name,Location,Latitude,Longitude,Elevation,Morphology,Status,Time of Last Eruption,OBJECTID,ID,Country,OID,x,y
Hudson Mountains,Antarctica,-74.33,-99.42,749,Stratovolcano,Uncertain,Unknown,1920,1900028,Antarctica,226,-11067383.7746673,-12650177.1503573
"Hudson, Cerro",Chile-S,-45.9,-72.97,1905,Stratovolcano,Historical,D1,1921,1508057,Chile,227,-8122983.24318517,-5764338.60600388
Huequi,Chile-S,-42.377,-72.578,1318,Stratovolcano,Historical,D2,1922,150803,Chile,229,-8079346.00279421,-5217620.57810755
"Huila, Nevado del",Colombia,2.93,-76.03,5364,Stratovolcano,Historical,D5,1923,150105,Colombia,230,-8463620.88501259,326308.361082521
Hulubelu,Sumatra,-5.334,104.59,849,Caldera,Fumarolic,U,1924,60128,Indonesia,231,11642905.5420685,-594637.72364438
"Humeros, Los",Mexico,19.68,-97.45,3150,Caldera,Holocene,Unknown,1925,1401093,Mexico,232,-10848084.3778045,2235160.81535572
Hunga Tonga-Hunga Ha'apai,Tonga-SW Pacific,-20.553,-175.384,114,Submarine volcano,Historical,D1,1926,40304,Tonga,233,-19523434.9343059,-2336636.76182968
Hunter Island,SW Pacific,-22.4,172.05,297,Stratovolcano,Historical,D2,1927,50802,Pacific Ocean,234,19152518.3909827,-2559618.2595014
Hydrographers Range,New Guinea,-9,148.37,1915,Stratovolcano,Holocene,U,1928,503011,Papua New Guinea,236,16516472.848998,-1006021.06275513
Iamalele,D'Entrecasteaux Is,-9.506,150.524,194,Lava dome,Holocene,U,1929,50305,Papua New Guinea,237,16756922.9491115,-1064671.72523146
Ibu,Halmahera-Indonesia,1.488,127.63,1325,Stratovolcano,Historical,D1,1930,60803,Indonesia,238,14207706.6099455,165662.02560415
Ata,Kyushu-Japan,31.22,130.57,924,Caldera,Historical,D6,1931,80207,Japan,239,14534985.9128777,3661353.41128737
Ichinsky,Kamchatka,55.678,157.718,3596,Stratovolcano,Holocene,U,1932,100028,Russia,240,17557087.4489335,7494579.79853357
Igwisi Hills,Africa-E,-4.889,31.933,1146,Tuff cone,Holocene,U,1933,202161,Tanzania,242,3554765.29950161,-544902.637405332
Ijen,Java,-8.058,114.242,2769,Stratovolcano,Historical,D1,1934,60335,Indonesia,243,12717361.2672052,-899984.198450904
Iliamna,Alaska-SW,60.032,-153.09,3053,Stratovolcano,Historical,D2,1935,110302,United States,245,-17041900.8455422,8406865.78577541
Iliboleng,Lesser Sunda Is,-8.342,123.258,1659,Stratovolcano,Historical,D1,1936,60422,Indonesia,246,13721017.7961973,-931925.528326081
Ililabalekan,Lesser Sunda Is,-8.55,123.38,1018,Stratovolcano,Fumarolic,U,1937,60424,Indonesia,247,13734598.7740741,-955333.865394674
Iliwerung,Lesser Sunda Is,-8.532,123.573,583,Complex volcano,Historical,D1,1938,60425,Indonesia,249,13755749.4773248,-953082.513550142
Iliniza,Ecuador,-0.662,-78.716,5162,Stratovolcano,Holocene,U,1939,1502041,Ecuador,250,-8762402.39830174,-73361.1619365438
Ilopango,El Salvador,13.672,-89.053,450,Caldera,Historical,D3,1940,140306,El Salvador,251,-9913334.61361339,1536612.59086791
Iliinsky,Kamchatka,51.498,157.203,1555,Stratovolcano,Historical,D2,1941,100003,Russia,252,17499757.911175,6709861.44649451
Imuruk Lake,Alaska-W,65.6,-163.92,610,Shield volcano,Radiocarbon,D6,1942,110402,United States,255,-18247490.9308334,9768218.71819742
Indian Heaven,US-Washington,45.93,-121.82,1806,Shield volcano,Radiocarbon,D7,1943,120107,United States,256,-13560940.3684366,5769138.75830292
Ingakslugwat Hills,Alaska-W,61.43,-164.47,190,Cinder cone,Holocene,U,1944,110405,United States,257,-18308716.6507697,8725233.01933832
Inielika,Lesser Sunda Is,-8.73,120.98,1559,Complex volcano,Historical,D2,1945,60409,Indonesia,258,13467431.9961702,-975601.383325076
Inierie,Lesser Sunda Is,-8.875,120.95,2245,Stratovolcano,Fumarolic,U,1946,60408,Indonesia,259,13464092.4114464,-991935.097301869
Inyo Craters,US-California,37.692,-119.02,2629,Lava dome,Radiocarbon,D6,1947,120313,United States,260,-13249245.7942154,4536006.64799748
Ipala,Guatemala,14.55,-89.63,1650,Stratovolcano,Holocene,U,1948,140219,Guatemala,261,-9977565.95980111,1637393.21342113
Iraya,Luzon-N of,20.469,122.01,1009,Stratovolcano,Historical,D6,1949,70406,Philippines,262,13582091.0716873,2328673.96737868
Irazu,Costa Rica,9.979,-83.852,3436,Stratovolcano,Historical,D1,1950,140506,Costa Rica,263,-9334361.94199758,1116516.27926582
Iriga,Luzon-Philippines,13.458,123.451,1138,Stratovolcano,Historical,D5,1951,703041,Philippines,264,13742502.4579204,1512106.59641486
Submarine Volcano NNE of Iriomotejima,Ryukyu Is,24.57,123.93,-200,Submarine volcano,Historical,D2,1952,80201,Japan,265,13795824.4940104,2823020.52147673
Irruputuncu,Chile-N,-20.73,-68.55,5163,Stratovolcano,Historical,D1,1953,150504,Bolivia,266,-7630951.0938789,-2359712.93755718
Isarog,Luzon-Philippines,13.658,123.38,1966,Stratovolcano,Holocene,U,1954,703042,Philippines,268,13734598.7740741,1535008.71815379
Ischia,Italy,40.73,13.897,789,Complex volcano,Historical,D6,1955,10103,Italy,269,1547006.96355412,4972597.92654077
Iskut-Unuk River Cones,Canada,56.567,-130.75,1880,Cinder cone,Radiocarbon,D3,1956,120009,Canada,270,-14532759.5230619,7674754.44237874
Isluga,Chile-N,-19.15,-68.83,5550,Stratovolcano,Historical,D2,1957,150503,Chile,271,-7662120.55130102,-2172603.9692346
Itasy Volcanic Field,Madagascar,-19.033,46.7,1800,Scoria cone,Radiocarbon,D7,1958,303014,Madagascar,272,5198620.22004588,-2158821.51586418
"Ithnayn, Harrat",Arabia-W,26.58,40.2,1625,Volcanic field,Holocene,U,1959,30105,Saudi Arabia,273,4475043.5298896,3071095.58280495
Ivao Group,Kuril Is,45.759,149.676,1426,Cinder cone,Holocene,U,1960,900111,Russia,275,16662301.3819372,5743567.85545299
Iwakisan,Honshu-Japan,40.656,140.303,1625,Stratovolcano,Historical,D3,1961,80327,Japan,276,15618458.5167687,4961733.38995263
Iwatesan,Honshu-Japan,39.853,141.001,2038,Complex volcano,Historical,D2,1962,80324,Japan,277,15696159.5213424,4844603.57770727
Io-Torishima,Ryukyu Is,27.881,128.223,212,Complex volcano,Historical,D1,1963,80202,Japan,278,14273719.0679859,3233978.87957314
Ioto,Volcano Is-Japan,24.751,141.289,169,Caldera,Historical,D1,1964,80412,Japan,279,15728219.5346908,2845191.43643299
Ixtepeque,Guatemala,14.42,-89.68,1292,Lava dome,Holocene,U,1965,140218,Guatemala,280,-9983131.93434078,1622446.56946777
Iya,Lesser Sunda Is,-8.891,121.641,618,Stratovolcano,Historical,D1,1966,60411,Indonesia,281,13541014.1795846,-993737.831650763
Iyang-Argapura,Java,-7.97,113.57,3088,Complex volcano,Holocene,U,1967,60333,Indonesia,282,12642554.5693921,-890091.470200214
Izalco,El Salvador,13.813,-89.633,1950,Stratovolcano,Historical,D1,1968,140303,El Salvador,283,-9977899.91827349,1552771.21357682
Iztaccihuatl,Mexico,19.179,-98.642,5230,Stratovolcano,Holocene,U,1969,1401082,Mexico,284,-10980777.2108301,2176021.64210469
Izu-Tobu,Honshu-Japan,34.9,139.098,1406,Pyroclastic cone,Historical,D1,1970,80301,Japan,285,15484318.5303628,4150299.83373261
Jailolo,Halmahera-Indonesia,1.08,127.439,993,Stratovolcano,Holocene,U,1971,608051,Indonesia,288,14186444.587204,120232.170131296
Laguna Caldera,Luzon-Philippines,14.42,121.27,743,Fumarole field,Fumarolic,Unknown,1972,70308,Philippines,289,13499714.6485003,1622446.56946777
Jan Mayen,Atlantic-N-Jan Mayen,71.082,-8.155,2197,Stratovolcano,Historical,D1,1973,170601,Jan Mayen,291,-907810.447419146,11430368.3483522
Jaraguay Volcanic Field,Mexico,29.33,-114.5,960,Cinder cone,Holocene,U,1974,1401004,Mexico,292,-12746081.6958298,3417715.06365641
Jefferson,US-Oregon,44.674,-121.8,3199,Stratovolcano,Varve Count,D6,1975,120202,United States,293,-13558713.9786207,5570344.63715046
Jingpohu,China-E,44.08,128.83,1000,Volcanic field,Radiocarbon,D7,1976,100504,China,294,14341289.9988974,5477830.72555533
Zitacuaro-Valle de Bravo,Mexico,19.4,-100.25,3500,Stratovolcano,Radiocarbon,D6,1977,1401061,Mexico,295,-11159778.9520257,2202086.51105503
Jordan Craters,US-Oregon,43.147,-117.46,1473,Volcanic field,Holocene,U,1978,120219,United States,296,-13075587.3885779,5334373.57913972
Granada,Nicaragua,11.9,-85.979,250,Fissure vent,Holocene,U,1979,1404101,Nicaragua,297,-9571249.81840566,1336605.24147112
Kaba,Sumatra,-3.522,102.615,1940,Stratovolcano,Historical,D2,1980,60122,Indonesia,298,11423049.5477518,-392314.392391972
Kadovar,New Guinea-NE of,-3.608,144.588,365,Stratovolcano,Holocene,U,1981,501002,Papua New Guinea,300,16095462.5348178,-401906.431071789
Kagamil,Aleutian Is,52.974,-169.72,893,Stratovolcano,Historical,D2,1982,110126,United States,301,-18893143.9774344,6978190.07141389
Kaguyak,Alaska Peninsula,58.611,-154.025,901,Stratovolcano,Holocene,D7,1983,110225,United States,302,-17146318.5279063,8096138.72898557
Kaikohe-Bay of Islands,New Zealand,-35.3,173.9,388,Volcanic field,Radiocarbon,D6,1984,40101,New Zealand,304,19358459.4489503,-4204725.05093638
Kaitoku Seamount,Volcano Is-Japan,26.122,141.096,-95,Submarine volcano,Historical,D1,1985,80410,Japan,306,15707402.7899125,3014818.95876698
Kalatungan,Mindanao-Philippines,7.95,124.8,2824,Stratovolcano,Holocene,U,1986,701061,Philippines,307,13892672.4510005,887843.420386947
Kambalny,Kamchatka,51.306,156.875,2116,Stratovolcano,Holocene,U,1987,100001,Russia,308,17463245.1181948,6675601.12066011
Kamen,Kamchatka,56.02,160.593,4585,Stratovolcano,Holocene,U,1988,1000251,Russia,309,17877130.9849642,7562398.12105439
Kana Keoki,Solomon Is-SW Pacifi,-8.75,157.03,-700,Submarine volcano,Holocene,U,1989,505052,Solomon Is.,311,17480499.6392678,-977853.929616806
Kanaga,Aleutian Is,51.923,-177.168,1307,Stratovolcano,Historical,D1,1990,110111,United States,312,-19722251.5448627,6786214.8231994
Karaca Dag,Turkey,37.67,39.83,1957,Shield volcano,Holocene,U,1991,103011,Turkey,314,4433855.31829609,4532912.19827567
"Karaha, Kawah",Java,-7.12,108.08,1155,Fumarole field,Fumarolic,U,1992,60316,Indonesia,315,12031410.564937,-794642.612526308
Karang,Java,-6.268,106.05,1768,Stratovolcano,Holocene,Unknown,1993,60302,Indonesia,316,11805431.9986267,-699146.498233507
Karangetang,Sangihe Is-Indonesia,2.781,125.407,1797,Stratovolcano,Historical,D1,1994,60702,Indonesia,317,13960243.3819121,309701.131891981
Karapinar Field,Turkey,37.667,33.6,1302,Cinder cone,Holocene,D7,1995,103001,Turkey,318,3740334.89065399,4532490.29894566
Karisimbi,Africa-C,-1.506,29.45,4490,Stratovolcano,Holocene,U,1996,20304,"Congo, DRC",319,3278359.00386191,-167666.460571907
Karkar,New Guinea-NE of,-4.647,145.976,1839,Stratovolcano,Historical,D1,1997,50103,Papua New Guinea,320,16248638.1541494,-518093.124942674
Karpinsky Group,Kuril Is,50.148,155.373,1326,Cone,Historical,D2,1998,90035,Russia,321,17296043.2430233,6471946.39491697
Kars Plateau,Turkey,40.75,42.9,3000,Volcanic field,Holocene,Unknown,1999,10305,Turkey,322,4775606.15503144,4975536.36106925
Karthala,Indian O-W,-11.75,43.38,2361,Shield volcano,Historical,D1,2000,30301,Comoros,323,4829039.51061221,-1317269.89523635
Karymsky,Kamchatka,54.049,159.443,1513,Stratovolcano,Historical,D1,2001,100013,Russia,324,17749113.5705519,7179441.77461576
Kasatochi,Aleutian Is,52.177,-175.508,314,Stratovolcano,Historical,D1,2002,110113,United States,325,-19537461.1901459,6832192.81517248
Kazbek,Georgia,42.7,44.5,5050,Stratovolcano,Tephrochronology,D7,2003,10402,Georgia,326,4953717.34030067,5266419.69708506
Kasuga 1,Volcano Is-Japan,21.765,143.71,-598,Submarine volcano,Uncertain,Unknown,2004,804134,Japan,327,15997724.0219013,2483333.95209079
Katla,Iceland-S,63.633,-19.083,1490,Subglacial volcano,Historical,D2,2005,170203,Iceland,328,-2124309.84280804,9257174.62737507
Katmai,Alaska Peninsula,58.279,-154.953,2047,Stratovolcano,Historical,D2,2006,110217,United States,329,-17250402.251798,8026368.23895055
Katunga,Africa-C,-0.471,30.191,1707,Tuff cone,Holocene,U,2007,203005,Uganda,330,3360846.74653972,-52432.0706974229
Katwe-Kikorongo,Africa-C,-0.08,29.92,1067,Tuff cone,Holocene,U,2008,203003,Uganda,331,3330679.16453475,-8905.56215710449
Kavachi,Solomon Is-SW Pacifi,-8.991,157.979,-20,Submarine volcano,Historical,D1,2009,50506,Solomon Is.,332,17586141.8360306,-1005006.71144868
Kawi-Butak,Java,-7.92,112.45,2651,Stratovolcano,Holocene,U,2010,603281,Indonesia,333,12517876.7397036,-884471.551048001
Kelimutu,Lesser Sunda Is,-8.77,121.82,1639,Complex volcano,Historical,D1,2011,60414,Indonesia,336,13560940.3684366,-980106.596932933
Keluo Group,China-E,49.37,125.92,670,Pyroclastic cone,Holocene,U,2012,100502,China,338,14017350.280689,6337877.44776576
Kelud,Java,-7.935,112.314,1730,Stratovolcano,Historical,D1,2013,60328,Indonesia,339,12502069.372011,-885595.480157617
Lanzarote,Canary Is,29.03,-13.63,670,Fissure vent,Historical,D3,2014,180306,Spain,340,-1517284.65951232,3379464.91708726
Lascar,Chile-N,-23.37,-67.73,5592,Stratovolcano,Historical,D1,2015,150510,Chile,342,-7539669.11142842,-2676825.62950301
Lassen Volcanic Center,US-California,40.492,-121.508,3187,Stratovolcano,Historical,D2,2016,120308,United States,343,-13526208.6873091,4937698.08708712
Lastarria,Chile-N,-25.168,-68.507,5706,Stratovolcano,Holocene,U,2017,150512,Chile,344,-7626164.35577479,-2896393.78846046
Late,Tonga-SW Pacific,-18.806,-174.65,540,Stratovolcano,Historical,D3,2018,40309,Tonga,345,-19441949.0670452,-2132108.81927318
Lautaro,Chile-S,-49.019,-73.504,3542,Stratovolcano,Historical,D2,2019,150806,Chile,347,-8182427.85126878,-6278085.9116154
Lawu,Java,-7.625,111.192,3265,Stratovolcano,Holocene,U,2020,60326,Indonesia,349,12377836.8202857,-851327.767228178
"Lengai, Ol Doinyo",Africa-E,-2.764,35.914,2962,Stratovolcano,Historical,D1,2021,20212,Tanzania,351,3997928.19234963,-307806.482795074
Leonard Range,Mindanao-Philippines,7.382,126.047,1080,Stratovolcano,Holocene,U,2022,701031,Philippines,352,14031487.8560198,824043.471456735
Leroboleng,Lesser Sunda Is,-8.365,122.833,1095,Complex volcano,Historical,D3,2023,60420,Indonesia,353,13673707.0126102,-934513.331764788
Leskov Island,Antarctica,-56.656,-28.14,190,Stratovolcano,Fumarolic,U,2024,190012,Antarctica,354,-3132530.47092272,-7690130.67152217
Level Mountain,Canada,58.42,-131.35,2164,Shield volcano,Holocene,U,2025,120005,Canada,356,-14621815.1156965,8056068.81513294
Lewotobi,Lesser Sunda Is,-8.542,122.775,1703,Stratovolcano,Historical,D1,2026,60418,Indonesia,357,13667250.4821442,-954433.310494512
Lewotolok,Lesser Sunda Is,-8.274,123.508,1431,Stratovolcano,Historical,D2,2027,60423,Indonesia,358,13748847.6688956,-924275.520425758
Taapaca,Chile-N,-18.1,-69.5,5860,Lava dome,Holocene,U,2028,1505011,Chile,359,-7736704.61013251,-2049256.69474677
Liado Hayk,Africa-NE,9.57,40.28,878,Maar,Holocene,Unknown,2029,201172,Ethiopia,360,4483949.08915306,1070315.83893451
Liamuiga,W Indies,17.37,-62.8,1156,Stratovolcano,Radiocarbon,D6,2030,160003,St. Kitts & Nevis,361,-6990864.02181758,1963938.08705474
Licancabur,Chile-N,-22.83,-67.88,5916,Stratovolcano,Holocene,U,2031,1505092,Chile,362,-7556367.03504741,-2611472.91852318
Lihir,New Ireland-SW Pacif,-3.125,152.642,700,Volcanic complex,Holocene,U,2032,50401,Papua New Guinea,363,16992029.7136669,-348046.01155519
Panarea,Italy,38.638,15.064,399,Stratovolcano,Historical,D6,2033,101041,Italy,364,1676916.80930987,4669950.03365681
Little Sitkin,Aleutian Is,51.95,178.543,1174,Stratovolcano,Historical,D3,2034,110105,United States,365,19875315.8447034,6791089.85724533
Ljosufjoll,Iceland-W,64.9,-22.483,1063,Fissure vent,Anthropology,D6,2035,170003,Iceland,366,-2502796.11150517,9582080.2328521
Llaima,Chile-C,-38.692,-71.729,3125,Stratovolcano,Historical,D1,2036,150711,Chile,367,-7984835.75511072,-4677648.75174133
Llullaillaco,Chile-N,-24.72,-68.53,6739,Stratovolcano,Historical,D3,2037,150511,Argentina,368,-7628724.70406304,-2841391.92340366
Kama'ehuakanaloa,Hawaiian Is,18.92,-155.27,-975,Submarine volcano,Historical,D1,2038,130200,United States,369,-17284577.3354716,2145519.47177207
Lokon-Empung,Sulawesi-Indonesia,1.358,124.792,1580,Stratovolcano,Historical,D1,2039,60610,Indonesia,371,13891781.8950742,151186.02431637
Lolo,New Britain-SW Pac,-5.466,150.509,796,Stratovolcano,Holocene,Unknown,2040,502071,Papua New Guinea,372,16754585.2398048,-609397.403719438
Lolobau,New Britain-SW Pac,-4.916,151.162,878,Caldera,Historical,D2,2041,50213,Papua New Guinea,373,16826831.5893296,-548366.223289716
Loloru,Bougainville-SW Paci,-6.52,155.62,1887,Pyroclastic shield,Radiocarbon,D7,2042,50503,Papua New Guinea,374,17323539.1572492,-727374.623698921
Long Island,New Guinea-NE of,-5.358,147.12,1280,Complex volcano,Historical,D1,2043,50105,Papua New Guinea,376,16377323.4855064,-597321.063387754
"Longavi, Nevado de",Chile-C,-36.196,-71.164,3175,Stratovolcano,Holocene,U,2044,1507063,Chile,378,-7921606.28434014,-4327210.47440157
Longgang Group,China-E,42.33,126.5,1000,Cinder cone,Radiocarbon,D4,2045,100505,China,379,14081915.5853491,5210540.7406982
Longonot,Africa-E,-0.914,36.446,2776,Stratovolcano,Anthropology,D3,2046,20210,Kenya,380,4057150.16145165,-101750.330182361
Lonquimay,Chile-C,-38.379,-71.586,2832,Stratovolcano,Historical,D1,2047,150710,Chile,381,-7968917.06792728,-4633105.02186117
Lopevi,Vanuatu-SW Pacific,-16.507,168.346,1413,Stratovolcano,Historical,D1,2048,50705,Vanuatu,382,18740190.9970844,-1863511.59065189
Lubukraya,Sumatra,1.478,99.209,1862,Stratovolcano,Holocene,Unknown,2049,601111,Indonesia,384,11043895.3621099,164548.457702818
"Lunayyir, Harrat",Arabia-W,25.17,37.75,1370,Volcanic field,Historical,D6,2050,30104,Saudi Arabia,386,4202310.77744608,2896639.78281282
Moekeshiwan [Lvinaya Past],Kuril Is,44.608,146.994,528,Stratovolcano,Radiocarbon,D7,2051,900041,Russia,388,16363297.2296665,5560018.78215961
Helgrindur,Iceland-W,64.866,-23.283,986,Pyroclastic cone,Holocene,U,2052,170002,Iceland,389,-2591851.70413979,9573163.51255787
Ma Alalta,Africa-NE,13.013,40.185,1745,Stratovolcano,Holocene,U,2053,201111,Ethiopia,390,4473373.7375277,1461217.53025305
Maca,Chile-S,-45.1,-73.17,2960,Stratovolcano,Holocene,U,2054,1508056,Chile,391,-8145247.14134383,-5637278.20189053
Macauley,Kermadec Is,-30.21,-178.475,238,Caldera,Holocene,U,2055,402021,New Zealand,392,-19867746.1193295,-3530572.04691377
Macdonald,Austral Is-C Pacific,-28.98,-140.25,-39,Submarine volcano,Historical,D1,2056,130308,Antarctica,393,-15612558.5837566,-3373100.7292531
Machin,Colombia,4.487,-75.389,2749,Stratovolcano,Radiocarbon,D6,2057,150104,Colombia,394,-8392265.0914141,500001.894820668
Maderas,Nicaragua,11.446,-85.515,1394,Stratovolcano,Holocene,U,2058,140413,Nicaragua,397,-9519486.25518679,1282723.36520253
Cuernos de Negros,Philippines-C,9.25,123.17,1862,Stratovolcano,Holocene,U,2059,70201,Philippines,399,13711221.6810075,1034207.66852885
Mageik,Alaska Peninsula,58.195,-155.253,2165,Stratovolcano,Historical,D2,2060,110215,United States,400,-17282684.9041281,8008392.98748254
Mahagnao,Philippines-C,10.882,124.888,860,Stratovolcano,Fumarolic,U,2061,70207,Philippines,401,13902468.5661903,1218727.91340459
Mahawu,Sulawesi-Indonesia,1.352,124.865,1299,Stratovolcano,Historical,D1,2062,60611,Indonesia,402,13899908.2179021,150517.920549737
Maipo,Chile-C,-34.164,-69.832,5323,Caldera,Historical,D2,2063,1507021,Argentina,403,-7773662.68107588,-4050844.53465753
Makaturing,Mindanao-Philippines,7.644,124.317,1818,Stratovolcano,Holocene,U,2064,70104,Philippines,404,13838905.1369474,853461.753809569
Kie Besi,Halmahera-Indonesia,0.32,127.4,1357,Stratovolcano,Historical,D1,2065,60807,Indonesia,405,14182103.1270631,35622.4222483184
Makushin,Aleutian Is,53.891,-166.923,1800,Stratovolcano,Historical,D1,2066,110131,United States,406,-18581783.3616856,7149539.96589738
Malinao,Luzon-Philippines,13.422,123.597,1548,Stratovolcano,Fumarolic,U1,2067,70304,Philippines,409,13758755.1035762,1507986.25437005
"Malinche, La",Mexico,19.231,-98.032,4461,Stratovolcano,Radiocarbon,D7,2068,1401091,Mexico,410,-10912872.3214462,2182151.39067787
Malindang,Mindanao-Philippines,8.22,123.63,2404,Stratovolcano,Holocene,U,2069,701071,Philippines,411,13762428.6467724,918201.455167065
Malindig,Luzon-Philippines,13.24,122.018,1157,Stratovolcano,Hot Springs,U,2070,703044,Philippines,412,13582981.6276137,1487165.0549762
Mallahle,Africa-NE,13.27,41.65,1875,Stratovolcano,Holocene,Unknown,2071,201102,Ethiopia,413,4636456.79153984,1490596.04384803
Maly Semyachik,Kamchatka,54.135,159.674,1527,Caldera,Historical,D2,2072,100014,Russia,415,17774828.3729252,7195765.2494214
Managlase Plateau,New Guinea,-9.08,148.33,1342,Volcanic field,Anthropology,U,2073,503021,Papua New Guinea,416,16512020.0693663,-1015038.63100335
Manam,New Guinea-NE of,-4.08,145.037,1807,Stratovolcano,Historical,D1,2074,50102,Papua New Guinea,417,16145444.986184,-454567.854131316
Manda Hararo,Africa-NE,12.17,40.82,600,Shield volcano,Holocene,U,2075,201115,Ethiopia,418,4544061.61418143,1365061.63403571
Manda-Inakir,Africa-NE,12.38,42.2,600,Fissure vent,Historical,D2,2076,201122,Ethiopia,419,4697682.51147615,1388985.68265546
Mandalagan,Philippines-C,10.65,123.25,1885,Stratovolcano,Holocene,U,2077,70203,Philippines,420,13720127.240271,1192439.04307874
Manuk,Banda Sea,-5.543,130.303,257,Stratovolcano,Fumarolic,U,2078,60508,Pacific Ocean,422,14505263.6088359,-618008.714785358
San Pablo Volcanic Field,Luzon-Philippines,14.12,121.3,1090,Stratovolcano,Holocene,U,2079,70306,Philippines,423,13503054.2332241,1587987.44019464
Kendang,Java,-7.245,107.709,2594,Stratovolcano,Holocene,U,2080,60311,Indonesia,425,11990111.0338527,-808667.606751467
Kerguelen Islands,Indian O-S,-49.58,69.5,1840,Stratovolcano,Holocene,U,2081,30402,French Southern & Antarctic Lands,426,7736704.61013251,-6373854.4707835
Kerinci,Sumatra,-1.697,101.264,3800,Stratovolcano,Historical,D1,2082,60117,Indonesia,427,11272656.9156901,-188936.801715522
Ketoi,Kuril Is,47.35,152.475,1172,Stratovolcano,Historical,D2,2083,90020,Russia,429,16973439.3587044,5999391.27814155
Khangar,Kamchatka,54.761,157.407,1967,Stratovolcano,Radiocarbon,D7,2084,1000272,Russia,430,17522467.0872968,7315618.57101803
Khanuy Gol,Mongolia,48.67,102.75,1886,Volcanic field,Holocene,U,2085,100302,Mongolia,431,11438077.6790089,6219051.67463281
Kharimkotan,Kuril Is,49.12,154.508,1145,Stratovolcano,Historical,D2,2086,90030,Russia,432,17199751.8834871,6295247.46643388
"Khaybar, Harrat",Arabia-W,25.5,40,2093,Volcanic field,Historical,D6,2087,30106,Saudi Arabia,433,4443874.07246748,2875744.62435224
Khodutka,Kamchatka,52.062,157.711,2039,Stratovolcano,Radiocarbon,D7,2088,1000053,Russia,434,17556308.212498,6811343.62230199
Kialagvik,Alaska Peninsula,57.203,-156.745,1677,Stratovolcano,Holocene,U,2089,110212,United States,435,-17448773.5843917,7801723.79531003
Kiaraberes-Gagak,Java,-6.73,106.65,1511,Stratovolcano,Historical,D2,2090,60303,Indonesia,436,11872223.6931026,-750908.879721605
Kick 'em Jenny,W Indies,12.3,-61.64,-185,Submarine volcano,Historical,D1,2091,160016,Netherlands,437,-6861733.41249738,1379869.50809116
Kyejo,Africa-E,-9.229,33.792,2176,Stratovolcano,Historical,D3,2092,20217,Tanzania,438,3761708.2328863,-1031839.23063955
Kikai,Ryukyu Is,30.793,130.305,704,Caldera,Historical,D1,2093,80206,Japan,439,14505486.2478175,3605895.33130709
Kikhpinych,Kamchatka,54.489,160.251,1515,Stratovolcano,Radiocarbon,D5,2094,100018,Russia,440,17839059.7191129,7263316.42623859
Kilauea,Hawaiian Is,19.421,-155.287,1222,Shield volcano,Historical,D1,2095,130201,United States,441,-17286469.7668151,2204565.09892442
Kirishimayama,Kyushu-Japan,31.934,130.862,1700,Shield volcano,Historical,D1,2096,80209,Japan,443,14567491.2041894,3754650.21612693
"Kishb, Harrat",Arabia-W,22.8,41.38,1475,Volcanic field,Holocene,U,2097,301071,Saudi Arabia,444,4606400.52902566,2607849.87268713
Kiska,Aleutian Is,52.103,177.602,1220,Stratovolcano,Historical,D1,2098,110102,United States,445,19770564.203867,6818770.6443943
Kita-Fukutokutai,Volcano Is-Japan,24.417,141.417,-73,Submarine volcano,Holocene,U1,2099,804121,Japan,446,15742468.4295124,2804304.33058435
Kita-Ioto,Volcano Is-Japan,25.424,141.284,792,Stratovolcano,Historical,D2,2100,80411,Japan,447,15727662.9372369,2927914.01148113
Kizimen,Kamchatka,55.131,160.32,2334,Stratovolcano,Historical,D2,2101,100023,Russia,448,17846740.7639776,7387332.1637992
Klabat,Sulawesi-Indonesia,1.454,125.031,1968,Stratovolcano,Fumarolic,U,2102,60612,Indonesia,449,13918387.2533738,161875.915134751
Klyuchevskoy,Kamchatka,56.056,160.642,4754,Stratovolcano,Historical,D1,2103,100026,Russia,450,17882585.6400131,7569571.75867496
Kolbeinsey Ridge,Iceland-N of,66.67,-18.5,5,Submarine volcano,Historical,D4,2104,170501,Iceland,451,-2059410.57967556,10062673.1842426
Vysoky,Kamchatka,55.064,160.765,2129,Stratovolcano,Holocene,U,2105,1000221,Russia,452,17896277.9373806,7374297.12861454
Kolokol Group,Kuril Is,46.042,150.083,1328,Somma volcano,Historical,D1,2106,90012,Russia,454,16707163.1367269,5787082.30610992
Hokkaido-Komagatake,Hokkaido-Japan,42.063,140.677,1131,Stratovolcano,Historical,D1,2107,80502,Japan,455,15660092.0063253,5170421.21508407
Komarov,Kamchatka,55.033,160.725,2065,Stratovolcano,Holocene,U,2108,100022,Russia,456,17891825.1577489,7368273.37604142
Kone,Africa-NE,8.811,39.695,1380,Caldera,Historical,D3,2109,20120,Ethiopia,457,4419495.10398375,982134.101230937
Koniuji,Aleutian Is,52.22,-175.13,273,Stratovolcano,Uncertain,Unknown,2110,110114,United States,458,-19495382.422626,6840002.44472608
Korath Range,Africa-NE,5.117,35.892,912,Tuff cone,Holocene,Unknown,2111,20132,Ethiopia,462,3994143.32966266,568480.587503567
Koro,Fiji Is-SW Pacific,-17.32,179.4,522,Cinder cone,Holocene,Unknown,2112,40502,Fiji,463,19970716.6483133,-1958106.95283057
Korosi,Africa-E,0.77,36.12,1446,Shield volcano,Holocene,U,2113,202054,Kenya,464,4020860.00745304,85718.588188713
